Unnamed: 0,created_at,user_id,username,tweet,place,near,clean_tweet,tokens,lemma,lemma_sentence,pos_tag,lemma_sentence(with POS),sentiword_analysis,vader_score,textblob_polarity,senti_textblob,senti_wordnet,senti_vader
3,2021-01-06,336462129,veronica_foote_,@doctor_oxford Rachel you absolutely nailed it tonight on @bbcquestiontime throughout the program. Please continue to shine a light on what is going on in the @NHSuk to help defeat #Covid19UK for the benefit of the Covid and non Covid patients.,,London,rachel absolutely nailed tonight throughout program please continue shine light going help defeat benefit non patients,"['rachel', 'absolutely', 'nailed', 'tonight', 'throughout', 'program', 'please', 'continue', 'shine', 'light', 'going', 'help', 'defeat', 'benefit', 'non', 'patients']","['rachel', 'absolutely', 'nailed', 'tonight', 'throughout', 'program', 'please', 'continue', 'shine', 'light', 'going', 'help', 'defeat', 'benefit', 'non', 'patient']",rachel absolutely nailed tonight throughout program please continue shine light going help defeat benefit non patient,"[('rachel', 'n'), ('absolutely', 'r'), ('nailed', 'v'), ('tonight', 'a'), ('throughout', None), ('program', 'n'), ('please', 'n'), ('continue', 'v'), ('shine', 'n'), ('light', 'n'), ('going', 'v'), ('help', 'n'), ('defeat', 'v'), ('benefit', 'a'), ('non', 'n'), ('patients', 'n')]",  rachel absolutely nail tonight throughout program please continue shine light go help defeat benefit non patient,1.375,0.6124,0.3,1,1,1
4,2021-01-06,1063705581133934593,5herii,"My kids can never say they don’t wanna do their homework. I’ve got ✨covid 19 ✨ and I’m still banging out my 2,000 word essay, you have no excuse x",,London,kids never say not wana homework got sparkles sparkles still banging word essay no excuse,"['kids', 'never', 'say', 'not', 'wana', 'homework', 'got', 'sparkles', 'sparkles', 'still', 'banging', 'word', 'essay', 'no', 'excuse']","['kid', 'never', 'say', 'not', 'wana', 'homework', 'got', 'sparkle', 'sparkle', 'still', 'banging', 'word', 'essay', 'no', 'excuse']",kid never say not wana homework got sparkle sparkle still banging word essay no excuse,"[('kids', 'n'), ('never', 'r'), ('say', 'v'), ('not', 'r'), ('wana', 'a'), ('homework', 'n'), ('got', 'v'), ('sparkles', 'n'), ('sparkles', 'n'), ('still', 'r'), ('banging', 'v'), ('word', 'n'), ('essay', 'v'), ('no', None), ('excuse', 'n')]",  kid never say not wana homework get sparkle sparkle still bang word essay no excuse,-0.75,0.6573,0.025,1,-1,1
5,2021-01-06,39230775,djalijournalist,"We are not messing about with COVID-19. Wear your mask all the time. @ London, United Kingdom  https://t.co/jOLjh2Avxx","{'type': 'Point', 'coordinates': [51.5141, -0.10940000000000001]}",London,not messing wear mask time united kingdom,"['not', 'messing', 'wear', 'mask', 'time', 'united', 'kingdom']","['not', 'messing', 'wear', 'mask', 'time', 'united', 'kingdom']",not messing wear mask time united kingdom,"[('not', 'r'), ('messing', 'v'), ('wear', None), ('mask', 'a'), ('time', 'n'), ('united', 'a'), ('kingdom', 'n')]",  not mess wear mask time united kingdom,-0.625,0.6007,0.0875,1,-1,1
7,2021-01-06,63469953,aopapilot,@rsmck @underwatergeek @Pilotworldshop @SouthernFairy16 @UK_CAA @Visicover @AdamWagner1 The problem I think with some airfields is the cost of remaining open verses the potential income. Add to that the benefit of furloughed staff. These are difficult times for everyone and we need to get the balance right. Inc COVId safe activities,,London,problem think airfields cost remaining open verses potential income add benefit furloughed staff difficult times everyone need get balance right inc safe activities,"['problem', 'think', 'airfields', 'cost', 'remaining', 'open', 'verses', 'potential', 'income', 'add', 'benefit', 'furloughed', 'staff', 'difficult', 'times', 'everyone', 'need', 'get', 'balance', 'right', 'inc', 'safe', 'activities']","['problem', 'think', 'airfield', 'cost', 'remaining', 'open', 'verse', 'potential', 'income', 'add', 'benefit', 'furloughed', 'staff', 'difficult', 'time', 'everyone', 'need', 'get', 'balance', 'right', 'inc', 'safe', 'activity']",problem think airfield cost remaining open verse potential income add benefit furloughed staff difficult time everyone need get balance right inc safe activity,"[('problem', 'n'), ('think', 'v'), ('airfields', 'n'), ('cost', 'n'), ('remaining', 'v'), ('open', 'a'), ('verses', 'n'), ('potential', 'a'), ('income', 'n'), ('add', 'v'), ('benefit', 'v'), ('furloughed', 'a'), ('staff', 'n'), ('difficult', 'a'), ('times', 'n'), ('everyone', 'n'), ('need', 'v'), ('get', 'v'), ('balance', 'v'), ('right', 'a'), ('inc', 'n'), ('safe', 'a'), ('activities', 'n')]",  problem think airfield cost remain open verse potential income add benefit furloughed staff difficult time everyone need get balance right inc safe activity,-1.375,0.1779,0.0571428571428571,1,-1,1
8,2021-01-06,25303558,gilesyb,"I remain astonished by the stock market, not so much in the face of the US riots as the incredibly potent new covid variants.  After so long watching them I really shouldn't be. I know how it works. But still",,London,remain astonished stock market not much face riots incredibly potent new variants long watching really not know works still,"['remain', 'astonished', 'stock', 'market', 'not', 'much', 'face', 'riots', 'incredibly', 'potent', 'new', 'variants', 'long', 'watching', 'really', 'not', 'know', 'works', 'still']","['remain', 'astonished', 'stock', 'market', 'not', 'much', 'face', 'riot', 'incredibly', 'potent', 'new', 'variant', 'long', 'watching', 'really', 'not', 'know', 'work', 'still']",remain astonished stock market not much face riot incredibly potent new variant long watching really not know work still,"[('remain', 'n'), ('astonished', 'a'), ('stock', 'n'), ('market', 'n'), ('not', 'r'), ('much', 'a'), ('face', 'n'), ('riots', 'n'), ('incredibly', 'r'), ('potent', 'a'), ('new', 'a'), ('variants', 'n'), ('long', 'a'), ('watching', 'v'), ('really', 'r'), ('not', 'r'), ('know', 'v'), ('works', 'n'), ('still', 'r')]",  remain astonished stock market not much face riot incredibly potent new variant long watch really not know work still,-0.25,0.673,0.0772727272727272,1,-1,1
12,2021-01-06,262799412,chutte1,Dear lord Jesus Christ . I thank you for your grace and also that you always listen to my prayers . Therefore lays your hands on lillians and Doris in spirit to heal them from covid. Most of all may your will be done. Amen,,London,dear lord jesus christ thank grace also always listen prayers therefore lays hands lilians doris spirit heal may done amen,"['dear', 'lord', 'jesus', 'christ', 'thank', 'grace', 'also', 'always', 'listen', 'prayers', 'therefore', 'lays', 'hands', 'lilians', 'doris', 'spirit', 'heal', 'may', 'done', 'amen']","['dear', 'lord', 'jesus', 'christ', 'thank', 'grace', 'also', 'always', 'listen', 'prayer', 'therefore', 'lay', 'hand', 'lilians', 'doris', 'spirit', 'heal', 'may', 'done', 'amen']",dear lord jesus christ thank grace also always listen prayer therefore lay hand lilians doris spirit heal may done amen,"[('dear', 'a'), ('lord', 'n'), ('jesus', 'n'), ('christ', 'n'), ('thank', 'n'), ('grace', 'n'), ('also', 'r'), ('always', 'r'), ('listen', 'a'), ('prayers', 'n'), ('therefore', 'v'), ('lays', 'a'), ('hands', 'n'), ('lilians', 'v'), ('doris', 'a'), ('spirit', 'a'), ('heal', 'n'), ('may', None), ('done', 'v'), ('amen', 'n')]",  dear lord jesus christ thank grace also always listen prayer therefore lays hand lilians doris spirit heal may do amen,1.0,0.8957,0.0,0,1,1
14,2021-01-06,79737242,denismacshane,"Did you see dear PM CNN headlining “Lies” by Trump. Perish thought BBC might do same about untruthful statements on Brexit, Covid",,London,see dear headlining lies perish thought untruthful statements,"['see', 'dear', 'headlining', 'lies', 'perish', 'thought', 'untruthful', 'statements']","['see', 'dear', 'headlining', 'lie', 'perish', 'thought', 'untruthful', 'statement']",see dear headlining lie perish thought untruthful statement,"[('see', 'v'), ('dear', 'a'), ('headlining', 'v'), ('lies', 'n'), ('perish', 'a'), ('thought', 'v'), ('untruthful', 'a'), ('statements', 'n')]",  see dear headline lie perish think untruthful statement,0.0,0.3818,0.0,0,0,1
15,2021-01-06,231763336,mazza6069,"Covid has again exposed the fragility  of our precious, decadent West   https://t.co/klvgEat8bR",,London,exposed fragility precious decadent west,"['exposed', 'fragility', 'precious', 'decadent', 'west']","['exposed', 'fragility', 'precious', 'decadent', 'west']",exposed fragility precious decadent west,"[('exposed', 'v'), ('fragility', 'n'), ('precious', 'a'), ('decadent', 'n'), ('west', 'n')]",  expose fragility precious decadent west,-0.125,0.4767,0.5,1,-1,1
17,2021-01-06,45131936,munchmma,Covid-19 is tearing up and down the UK like wild fire. My friend caught it xmas eve....the Government web site sends out tests within a day and results within 48hrs. I get my results tomorrow. There are lots of drive threws as well that are conducting tests.  #COVIDSecondWave  https://t.co/aI4kvRlCus,,London,tearing like wild fire friend caught xmas eve government web site sends tests within day results within hrs get results tomorrow lots drive threws well conducting tests covidsecondwave,"['tearing', 'like', 'wild', 'fire', 'friend', 'caught', 'xmas', 'eve', 'government', 'web', 'site', 'sends', 'tests', 'within', 'day', 'results', 'within', 'hrs', 'get', 'results', 'tomorrow', 'lots', 'drive', 'threws', 'well', 'conducting', 'tests', 'covidsecondwave']","['tearing', 'like', 'wild', 'fire', 'friend', 'caught', 'xmas', 'eve', 'government', 'web', 'site', 'sends', 'test', 'within', 'day', 'result', 'within', 'hr', 'get', 'result', 'tomorrow', 'lot', 'drive', 'threws', 'well', 'conducting', 'test', 'covidsecondwave']",tearing like wild fire friend caught xmas eve government web site sends test within day result within hr get result tomorrow lot drive threws well conducting test covidsecondwave,"[('tearing', 'v'), ('like', None), ('wild', 'a'), ('fire', 'n'), ('friend', 'n'), ('caught', 'v'), ('xmas', 'n'), ('eve', 'a'), ('government', 'n'), ('web', 'v'), ('site', 'n'), ('sends', 'n'), ('tests', 'n'), ('within', None), ('day', 'n'), ('results', 'n'), ('within', None), ('hrs', 'a'), ('get', 'n'), ('results', 'n'), ('tomorrow', 'n'), ('lots', 'n'), ('drive', 'v'), ('threws', 'n'), ('well', 'r'), ('conducting', 'v'), ('tests', 'n'), ('covidsecondwave', 'v')]",  tear like wild fire friend catch xmas eve government web site sends test within day result within hrs get result tomorrow lot drive threws well conduct test covidsecondwave,0.75,0.6597,0.1,1,1,1
20,2021-01-06,19486557,nicolobattisti,"Thankful to have received the first dose of the #COVID19 vaccine at @royalmarsdenNHS. A key step to protect our patients, loved ones and the most vulnerable members of the population. We are on the right track for recovery even in this darkest hour #WearAMask #protecttheNHS  https://t.co/aPabYPbwPk",,London,thankful received first dose key step protect patients loved ones vulnerable members population right track recovery even darkest hour wearamask protecthenhs,"['thankful', 'received', 'first', 'dose', 'key', 'step', 'protect', 'patients', 'loved', 'ones', 'vulnerable', 'members', 'population', 'right', 'track', 'recovery', 'even', 'darkest', 'hour', 'wearamask', 'protecthenhs']","['thankful', 'received', 'first', 'dose', 'key', 'step', 'protect', 'patient', 'loved', 'one', 'vulnerable', 'member', 'population', 'right', 'track', 'recovery', 'even', 'darkest', 'hour', 'wearamask', 'protecthenhs']",thankful received first dose key step protect patient loved one vulnerable member population right track recovery even darkest hour wearamask protecthenhs,"[('thankful', 'n'), ('received', 'v'), ('first', 'r'), ('dose', 'a'), ('key', 'a'), ('step', 'n'), ('protect', 'a'), ('patients', 'n'), ('loved', 'v'), ('ones', 'n'), ('vulnerable', 'a'), ('members', 'n'), ('population', 'n'), ('right', 'r'), ('track', 'v'), ('recovery', 'n'), ('even', 'r'), ('darkest', 'a'), ('hour', 'n'), ('wearamask', 'n'), ('protecthenhs', 'n')]",  thankful receive first dose key step protect patient love one vulnerable member population right track recovery even dark hour wearamask protecthenhs,1.125,0.8625,0.0642857142857142,1,1,1
22,2021-01-06,271601849,senoralfie,Definitely an approach to #covid vaccination that should be considered,,London,definitely approach considered,"['definitely', 'approach', 'considered']","['definitely', 'approach', 'considered']",definitely approach considered,"[('definitely', 'r'), ('approach', 'n'), ('considered', 'v')]",  definitely approach consider,0.375,0.4019,0.0,0,1,1
25,2021-01-06,993848220,mrboltonptpage,@GemCals And all the time .. Covid is waiting in the wings to increase the spike   You watch the infections go up even more now,,London,time waiting wings increase spike watch infections even,"['time', 'waiting', 'wings', 'increase', 'spike', 'watch', 'infections', 'even']","['time', 'waiting', 'wing', 'increase', 'spike', 'watch', 'infection', 'even']",time waiting wing increase spike watch infection even,"[('time', 'n'), ('waiting', 'v'), ('wings', 'n'), ('increase', 'n'), ('spike', 'n'), ('watch', 'v'), ('infections', 'n'), ('even', 'r')]",  time wait wing increase spike watch infection even,0.25,0.3182,0.0,0,1,1
32,2021-01-06,281141967,sssshort,"@Drewnavis1991 @Lil_Ash @piersmorgan @CosmopolitanUK No no sir, you are mistaken. Your point was if you have ‘too much’ fat, you cannot be healthy. Covid was merely one point of your initially tweet. The trouble is you can’t see a ‘fat’ person on a magazine and even for a second believe they are healthy. She’s glorious",,London,no no sir mistaken point much fat canot healthy merely one point initially tweet trouble not see fat person magazine even second believe healthy glorious,"['no', 'no', 'sir', 'mistaken', 'point', 'much', 'fat', 'canot', 'healthy', 'merely', 'one', 'point', 'initially', 'tweet', 'trouble', 'not', 'see', 'fat', 'person', 'magazine', 'even', 'second', 'believe', 'healthy', 'glorious']","['no', 'no', 'sir', 'mistaken', 'point', 'much', 'fat', 'canot', 'healthy', 'merely', 'one', 'point', 'initially', 'tweet', 'trouble', 'not', 'see', 'fat', 'person', 'magazine', 'even', 'second', 'believe', 'healthy', 'glorious']",no no sir mistaken point much fat canot healthy merely one point initially tweet trouble not see fat person magazine even second believe healthy glorious,"[('no', None), ('no', None), ('sir', 'n'), ('mistaken', 'v'), ('point', 'n'), ('much', 'a'), ('fat', 'n'), ('canot', 'n'), ('healthy', 'a'), ('merely', 'r'), ('one', None), ('point', 'n'), ('initially', 'r'), ('tweet', 'v'), ('trouble', 'n'), ('not', 'r'), ('see', 'v'), ('fat', 'a'), ('person', 'n'), ('magazine', 'n'), ('even', 'r'), ('second', 'a'), ('believe', 'v'), ('healthy', 'a'), ('glorious', 'a')]",  no no sir mistake point much fat canot healthy merely one point initially tweet trouble not see fat person magazine even second believe healthy glorious,0.625,0.8697,0.0714285714285714,1,1,1
33,2021-01-06,1098289496620232704,kraychaudhuri1,@KP24 nothing kevin . jealous.  wish i was there doing some conservation work . but have to be in front line here abs today had to treat a covid denier !!!,,London,nothing kevin jealous wish conservation work front line abs today treat denier,"['nothing', 'kevin', 'jealous', 'wish', 'conservation', 'work', 'front', 'line', 'abs', 'today', 'treat', 'denier']","['nothing', 'kevin', 'jealous', 'wish', 'conservation', 'work', 'front', 'line', 'ab', 'today', 'treat', 'denier']",nothing kevin jealous wish conservation work front line ab today treat denier,"[('nothing', 'n'), ('kevin', 'v'), ('jealous', 'a'), ('wish', 'a'), ('conservation', 'n'), ('work', 'n'), ('front', 'a'), ('line', 'n'), ('abs', 'n'), ('today', 'n'), ('treat', 'v'), ('denier', 'n')]",  nothing kevin jealous wish conservation work front line ab today treat denier,0.0,0.1083,0.0,0,0,1
35,2021-01-06,20433313,howiejk,@ElmslieEnder @JeremyAlbert20 I like the post covid mask look,,London,like post mask look,"['like', 'post', 'mask', 'look']","['like', 'post', 'mask', 'look']",like post mask look,"[('like', None), ('post', 'n'), ('mask', 'n'), ('look', 'n')]",  like post mask look,0.0,0.3612,0.0,0,0,1
39,2021-01-06,305248924,happywombelle,@GbdocTChost Definitely getting to the front on the queue for a COVID19 vaccine. #gbdoc,,London,definitely getting front queue gbdoc,"['definitely', 'getting', 'front', 'queue', 'gbdoc']","['definitely', 'getting', 'front', 'queue', 'gbdoc']",definitely getting front queue gbdoc,"[('definitely', 'r'), ('getting', 'v'), ('front', 'a'), ('queue', 'n'), ('gbdoc', 'n')]",  definitely get front queue gbdoc,0.375,0.4019,0.0,0,1,1
40,2021-01-06,347775580,morelandjo,"@KDRC_2020 My friend aged 28 was climbing mountains in Norway in the spring, he cycled 35k a week and regularly trained for marathons. He got Covid and now can't walk more than 4 steps without support. The long Covid patients are mostly under 50.",,London,friend aged climbing mountains norway spring cycled week regularly trained marathons got not walk steps without support long patients mostly,"['friend', 'aged', 'climbing', 'mountains', 'norway', 'spring', 'cycled', 'week', 'regularly', 'trained', 'marathons', 'got', 'not', 'walk', 'steps', 'without', 'support', 'long', 'patients', 'mostly']","['friend', 'aged', 'climbing', 'mountain', 'norway', 'spring', 'cycled', 'week', 'regularly', 'trained', 'marathon', 'got', 'not', 'walk', 'step', 'without', 'support', 'long', 'patient', 'mostly']",friend aged climbing mountain norway spring cycled week regularly trained marathon got not walk step without support long patient mostly,"[('friend', 'n'), ('aged', 'v'), ('climbing', 'v'), ('mountains', 'n'), ('norway', 'r'), ('spring', 'v'), ('cycled', 'v'), ('week', 'n'), ('regularly', 'r'), ('trained', 'a'), ('marathons', 'n'), ('got', 'v'), ('not', 'r'), ('walk', 'a'), ('steps', 'n'), ('without', None), ('support', 'n'), ('long', 'a'), ('patients', 'n'), ('mostly', 'r')]",  friend age climb mountain norway spring cycle week regularly trained marathon get not walk step without support long patient mostly,0.125,0.2363,0.15,1,1,1
46,2021-01-06,4798767797,mfenderesky,Introducing our newest addition to our @NorthMidNHS rapid PCR COVID testing portfolio @biocartis.Testing all admissions rapidly to ensure safe patient placement &amp; flow through ED.. when you have 80 plus admissions/ day.. that’s a lot! @JustinDaniels15 @highlight18 @Dhruv_Rastogi  https://t.co/lA8svLO5oT,,London,introducing newest addition rapid pcr testing portfolio testing admissions rapidly ensure safe patient placement flow plus admissions day lot,"['introducing', 'newest', 'addition', 'rapid', 'pcr', 'testing', 'portfolio', 'testing', 'admissions', 'rapidly', 'ensure', 'safe', 'patient', 'placement', 'flow', 'plus', 'admissions', 'day', 'lot']","['introducing', 'newest', 'addition', 'rapid', 'pcr', 'testing', 'portfolio', 'testing', 'admission', 'rapidly', 'ensure', 'safe', 'patient', 'placement', 'flow', 'plus', 'admission', 'day', 'lot']",introducing newest addition rapid pcr testing portfolio testing admission rapidly ensure safe patient placement flow plus admission day lot,"[('introducing', 'v'), ('newest', 'a'), ('addition', 'n'), ('rapid', 'a'), ('pcr', 'n'), ('testing', 'v'), ('portfolio', 'n'), ('testing', 'v'), ('admissions', 'n'), ('rapidly', 'r'), ('ensure', 'v'), ('safe', 'a'), ('patient', 'n'), ('placement', 'n'), ('flow', 'n'), ('plus', None), ('admissions', 'n'), ('day', 'n'), ('lot', 'n')]",  introduce new addition rapid pcr test portfolio test admission rapidly ensure safe patient placement flow plus admission day lot,1.25,0.6705,0.3181818181818182,1,1,1
47,2021-01-06,890665010,domskech,Just entering my 3rd week of Covid... Starting to feel my energy returning.  Board games have kept me sane  #cameleon @bigpotatogames  #yahzee #tickettoride @days_of_wonder  #coronavirusuk #COVID19  https://t.co/8KuKTwF3Kp,,London,entering week starting feel energy returning board games kept sane cameleon yahze ticketoride coronavirusuk,"['entering', 'week', 'starting', 'feel', 'energy', 'returning', 'board', 'games', 'kept', 'sane', 'cameleon', 'yahze', 'ticketoride', 'coronavirusuk']","['entering', 'week', 'starting', 'feel', 'energy', 'returning', 'board', 'game', 'kept', 'sane', 'cameleon', 'yahze', 'ticketoride', 'coronavirusuk']",entering week starting feel energy returning board game kept sane cameleon yahze ticketoride coronavirusuk,"[('entering', 'v'), ('week', 'n'), ('starting', 'v'), ('feel', 'v'), ('energy', 'n'), ('returning', 'v'), ('board', 'n'), ('games', 'n'), ('kept', 'v'), ('sane', 'n'), ('cameleon', 'n'), ('yahze', 'n'), ('ticketoride', None), ('coronavirusuk', 'n')]",  enter week start feel energy return board game keep sane cameleon yahze ticketoride coronavirusuk,-0.125,0.2732,-0.4,-1,-1,1
52,2021-01-06,20093742,sheena81,To all my MS friends please have a read of this if you haven't already.   Main thing is to get the vaccine when offered   #ms #mslife #covid #covidMS #vaccination,,London,friends please read not already main thing get offered mslife covidms,"['friends', 'please', 'read', 'not', 'already', 'main', 'thing', 'get', 'offered', 'mslife', 'covidms']","['friend', 'please', 'read', 'not', 'already', 'main', 'thing', 'get', 'offered', 'mslife', 'covidms']",friend please read not already main thing get offered mslife covidms,"[('friends', 'n'), ('please', 'v'), ('read', 'v'), ('not', 'r'), ('already', 'r'), ('main', 'a'), ('thing', 'n'), ('get', 'n'), ('offered', 'v'), ('mslife', 'n'), ('covidms', 'n')]",  friend please read not already main thing get offer mslife covidms,0.625,0.6705,0.1666666666666666,1,1,1
54,2021-01-06,231763336,mazza6069,@Missmai_lily @TheofficialDund Thanks Lily. Must have been a less powerful strain...or only a small viral load  Wouldn’t wish #COVID19 on anyone.,,London,thanks lily must less powerful strain small viral load would not wish anyone,"['thanks', 'lily', 'must', 'less', 'powerful', 'strain', 'small', 'viral', 'load', 'would', 'not', 'wish', 'anyone']","['thanks', 'lily', 'must', 'less', 'powerful', 'strain', 'small', 'viral', 'load', 'would', 'not', 'wish', 'anyone']",thanks lily must less powerful strain small viral load would not wish anyone,"[('thanks', 'n'), ('lily', 'r'), ('must', None), ('less', 'v'), ('powerful', 'a'), ('strain', 'v'), ('small', 'a'), ('viral', 'a'), ('load', 'n'), ('would', None), ('not', 'r'), ('wish', 'v'), ('anyone', 'n')]",  thanks lily must less powerful strain small viral load would not wish anyone,-1.125,0.4985,0.0208333333333333,1,-1,1
62,2021-01-06,932394942,natalie_runs26,I need Covid to fuck off so I can see @heysweetcharlie and we can get really drunk and probably cry a bit then go on adventures ❤️❤️,,London,need fuck see get really drunk probably cry bit adventures red heart red heart,"['need', 'fuck', 'see', 'get', 'really', 'drunk', 'probably', 'cry', 'bit', 'adventures', 'red', 'heart', 'red', 'heart']","['need', 'fuck', 'see', 'get', 'really', 'drunk', 'probably', 'cry', 'bit', 'adventure', 'red', 'heart', 'red', 'heart']",need fuck see get really drunk probably cry bit adventure red heart red heart,"[('need', 'a'), ('fuck', 'n'), ('see', 'v'), ('get', 'v'), ('really', 'r'), ('drunk', 'v'), ('probably', 'r'), ('cry', 'a'), ('bit', 'n'), ('adventures', 'n'), ('red', 'a'), ('heart', 'n'), ('red', 'v'), ('heart', 'n')]",  need fuck see get really drink probably cry bit adventure red heart red heart,0.625,0.5908,-0.05,-1,1,1
